ETRiS_Dev,Bld_Class,GED4ALLstr,Event,Latitude,Longitude,Dam_Scale,Modelling,Comments,Download,Original_doc,Code,
Yes,"Predominantly unreinforced single-storey masonry, Colombo",MUR/HEX:1,2004 Indean Ocean Tsunami,6.927078,79.861242,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Colombo_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Colombo",MUR/HEX:1,2004 Indean Ocean Tsunami,6.931078,79.861242,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Colombo_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Colombo",MUR/HEX:1,2004 Indean Ocean Tsunami,6.935078,79.861242,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Colombo_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Thimbirigasyaya ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.911308,79.877478,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Thimbirigasyaya_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Thimbirigasyaya ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.915308,79.877478,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Thimbirigasyaya_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Thimbirigasyaya ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.919308,79.877478,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Thimbirigasyaya_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Dehiwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.830119,79.880083,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dehiwala_M1.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Dehiwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.832119,79.880083,Destroyed/Survived,"using ""probit"" link function",Model 2,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dehiwala_M2.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Dehiwala ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.834119,79.880083,Destroyed/Survived,"using ""cloglog"" link function",Model 3,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Dehiwala_M3.csv,https://doi.org/10.1080/10286600802435918,19,
Yes,"Predominantly unreinforced single-storey masonry, Rathmalana ",MUR/HEX:1,2004 Indean Ocean Tsunami,6.819544,79.880083,Destroyed/Survived,"using ""logit"" link function",Model 1,https://github.com/eurotsunamirisk/etris_data_and_data_products/blob/main/etris_data_products/Fragility_Curves/SriLanka2004_Rathmalana_M1.csv,https://doi.org/10.1080/10286600802435918,19,
